City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Biak,ID,77.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
372,Oristano,IT,70.86,scattered clouds,39.9,8.6,Hotel Mistral
373,Kropotkin,RU,57.83,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
374,Ponta Do Sol,PT,74.12,overcast clouds,32.6667,-17.1,Hotel do Campo
375,Chicomuselo,MX,78.66,broken clouds,15.7667,-92.2667,Hotel San Carlos
377,Shimoda,JP,53.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
378,Sun Valley,US,60.24,overcast clouds,39.5963,-119.776,Panther Valley RV Park
380,Olafsvik,IS,41.45,moderate rain,64.8945,-23.7142,Hotel Olafsvik
382,Neyshabur,IR,51.82,clear sky,36.2133,58.7958,Amiran Hotel
383,Esperance,AU,51.64,broken clouds,-33.8667,121.9,Hospitality Esperance
385,Palmer,US,70.03,broken clouds,42.1584,-72.3287,Wedgewood Motel
387,Mareeba,AU,74.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
389,Booue,GA,78.39,light rain,-0.0921,11.9385,Splendeur de l'équateur
390,Lata,PT,70.36,clear sky,40.1629,-8.3327,Casa Maquia
391,Matara,LK,78.85,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
392,Lakatoro,VU,77.58,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
393,Sabang,ID,79.95,overcast clouds,5.8933,95.3214,Hotel Citra
394,Manono,CD,78.1,overcast clouds,-7.3,27.4167,Hotel hewa bora
395,Husavik,IS,35.02,overcast clouds,66.0449,-17.3389,Bjarnabúð
397,Fort Frances,CA,39.16,overcast clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
398,Cairns,AU,78.75,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
400,Mehamn,NO,33.98,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
401,Rio Grande,BR,73.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
402,Port Lincoln,AU,54.45,clear sky,-34.7333,135.8667,Port Lincoln Hotel
403,Fortuna Foothills,US,75.22,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
405,Belyy Yar,RU,40.89,overcast clouds,53.6039,91.3903,Pasportnyy Stol
407,Tocopilla,CL,66.09,clear sky,-22.092,-70.1979,Hotel Galvarino
408,Khani,GE,47.77,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
410,Vaitape,PF,77.97,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
414,Brae,GB,44.51,overcast clouds,60.3964,-1.353,Busta House Hotel
415,Nordhorn,DE,48.81,overcast clouds,52.4333,7.0833,Hotel Am Stadtring
416,Tirlyanskiy,RU,41.68,overcast clouds,54.2109,58.5806,Sudovaya Gora
417,Chifeng,CN,40.3,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
418,Bad Waldsee,DE,49.71,broken clouds,47.9167,9.7667,Hotel Grüner Baum
419,Viedma,AR,64.99,scattered clouds,-40.8135,-62.9967,Hotel Cristal
422,Smoky Lake,CA,34.48,broken clouds,54.1169,-112.4686,Country Garden Hotel
423,Chumikan,RU,37.78,overcast clouds,54.7183,135.315,Fortuna
425,Fukue,JP,63.63,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
426,Sisophon,KH,76.62,overcast clouds,13.5859,102.9737,Pyramid Hotel
427,Pitea,SE,32.09,light snow,65.3172,21.4794,Piteå Stadshotell
428,Hofn,IS,37.31,overcast clouds,64.2539,-15.2082,Hótel Höfn
430,Toktogul,KG,39.67,overcast clouds,41.8708,72.9402,KAGAN
431,Pineville,US,76.98,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
432,Nanzhang,CN,54.97,overcast clouds,31.7765,111.8386,Longmenkezhan
435,Ballina,AU,66.94,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
439,Steamboat Springs,US,53.1,clear sky,40.485,-106.8317,Steamboat Grand
440,Fortuna,US,55.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
441,Kamina,CD,73.29,overcast clouds,-8.7386,24.9906,Guest House Florvia
443,Kem,RU,34.48,light rain,64.9555,34.5793,"Mini-hotel ""Kem"""
444,Kawalu,ID,72.46,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
445,Nove Zamky,SK,57.31,overcast clouds,47.9854,18.1619,Hotel Hubert
448,Dongsheng,CN,40.06,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
449,Nyurba,RU,32.41,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
450,Otradnoye,RU,49.03,light rain,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
454,Talgar,KZ,33.96,light intensity shower rain,43.3027,77.2395,fazenda Umihalyicha
456,Mujiayingzi,CN,39.27,clear sky,42.1167,118.7833,Jinjiang Hotel
457,Cooma,AU,46.17,clear sky,-36.2333,149.1333,High Country Motel
458,Ambulu,ID,78.4,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
459,Ayan,RU,39.02,overcast clouds,56.45,138.1667,Gostinitsa
460,Yabelo,ET,66.42,broken clouds,4.8833,38.0833,Asnakech W/michael
461,Istok,XK,65.32,overcast clouds,42.7808,20.4875,Hotel TROFTA
462,Nizhnyaya Tavda,RU,38.73,overcast clouds,57.6731,66.1725,Dom
463,Mabaruma,GY,78.89,light rain,8.2,-59.7833,Monty Brooms Guest House
