City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Pitkyaranta,RU,61.5734,31.4792,39.38,96,100,17.43,light rain
122,Kalundborg,DK,55.6795,11.0886,48.13,67,53,34.69,broken clouds
123,Cravo Norte,CO,6.3017,-70.2041,88.0,56,100,8.97,overcast clouds
124,Poum,NC,-20.2333,164.0167,73.85,78,1,8.93,clear sky
125,Mweka,CD,-4.85,21.5667,78.75,68,72,1.92,broken clouds
126,Kurgan,RU,55.45,65.3333,42.91,91,100,14.45,overcast clouds
127,Carballo,ES,43.213,-8.691,65.01,72,6,9.15,clear sky
128,Baiao,BR,-2.7906,-49.6717,92.7,43,100,2.33,overcast clouds
129,Dawlatabad,AF,36.4141,64.9053,48.42,26,9,6.78,clear sky
130,Adrar,MR,20.5022,-10.0711,88.57,15,35,7.78,scattered clouds
131,Itaguai,BR,-22.8522,-43.7753,78.48,64,31,6.78,scattered clouds
132,Lufilufi,WS,-13.8745,-171.5986,76.78,75,64,19.01,broken clouds
133,Codrington,AU,-38.2667,141.9667,52.68,90,99,8.41,overcast clouds
134,Urengoy,RU,65.9667,78.3667,28.11,97,93,6.35,light snow
135,Miranda,CO,3.2499,-76.2281,75.33,82,99,3.36,overcast clouds
136,Tera,NE,14.0078,0.7531,100.98,19,91,8.99,overcast clouds
137,Pimenta Bueno,BR,-11.6725,-61.1936,93.7,45,100,4.47,overcast clouds
138,Bintulu,MY,3.1667,113.0333,75.51,91,100,5.1,overcast clouds
139,Tiksi,RU,71.6872,128.8694,3.31,95,100,1.86,overcast clouds
140,Sioux Lookout,CA,50.1001,-91.917,35.98,77,99,4.43,overcast clouds
141,Letlhakane,BW,-21.4167,25.5833,88.63,24,68,8.55,broken clouds
142,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,73,59,7.58,broken clouds
143,Yerbogachen,RU,61.2767,108.0108,34.02,84,99,7.18,overcast clouds
144,Aklavik,CA,68.2191,-135.0107,22.86,91,99,2.98,overcast clouds
145,Lahan,NP,26.7296,86.4951,75.76,77,95,4.03,overcast clouds
146,Ahipara,NZ,-35.1667,173.1667,59.74,94,100,19.93,overcast clouds
147,Krasnoselkup,RU,65.7,82.4667,32.29,100,100,3.96,snow
148,Kruisfontein,ZA,-34.0033,24.7314,64.89,68,23,5.46,few clouds
149,Abeokuta,NG,7.15,3.35,80.62,85,99,5.14,light rain
150,Pinerovka,RU,51.562,43.0689,56.62,65,73,14.32,broken clouds
151,Salvador,SV,13.8333,-88.9167,82.8,72,79,2.1,broken clouds
152,Aberdeen,GB,57.1437,-2.0981,45.21,76,48,9.57,scattered clouds
153,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,18,0,25.32,clear sky
154,Shache,CN,38.4167,77.2406,52.27,47,100,12.33,overcast clouds
155,Nemuro,JP,43.3236,145.575,48.72,79,97,12.19,overcast clouds
156,Hambantota,LK,6.1241,81.1185,77.34,100,40,3.44,scattered clouds
157,Pacifica,US,37.6138,-122.4869,58.51,95,90,1.99,mist
158,Cabo San Lucas,MX,22.8909,-109.9124,82.51,78,0,6.44,clear sky
159,Ibra,OM,22.6906,58.5334,84.15,43,1,14.38,clear sky
160,Coihaique,CL,-45.5752,-72.0662,53.96,38,9,11.65,clear sky
161,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,84,55,14.67,broken clouds
162,Houlton,US,46.1262,-67.8403,61.21,75,90,6.91,overcast clouds
163,Puerto Ayora,EC,-0.7393,-90.3518,76.96,79,91,9.98,overcast clouds
164,Saskylakh,RU,71.9167,114.0833,-0.83,99,100,2.51,overcast clouds
165,Ararat,AM,39.8317,44.7049,52.14,33,0,1.23,clear sky
166,Saldanha,ZA,-33.0117,17.9442,61.23,77,100,21.72,overcast clouds
167,Lagoa,PT,39.05,-27.9833,68.29,74,82,9.91,broken clouds
168,Timmins,CA,48.4669,-81.3331,32.94,67,99,7.52,overcast clouds
169,Lompoc,US,34.6391,-120.4579,62.02,90,1,3.44,clear sky
170,Samarai,PG,-10.6167,150.6667,81.14,72,100,12.39,overcast clouds
171,Pisco,PE,-13.7,-76.2167,67.01,80,65,7.09,broken clouds
172,Caraballeda,VE,10.6112,-66.8522,89.37,66,83,11.77,broken clouds
173,Namuac,PH,18.6109,121.1657,78.94,86,45,8.75,scattered clouds
174,Laranjeiras Do Sul,BR,-25.4078,-52.4161,75.7,41,0,5.03,light rain
175,Hermanus,ZA,-34.4187,19.2345,64.8,72,97,27.29,overcast clouds
176,Flinders,AU,-34.5833,150.8552,61.81,85,6,1.01,clear sky
177,Longyearbyen,SJ,78.2186,15.6401,17.44,73,75,9.22,broken clouds
178,Chuy,UY,-33.6971,-53.4616,70.63,47,5,6.15,clear sky
179,New Norfolk,AU,-42.7826,147.0587,57.76,76,100,0.18,light rain
180,Alta Floresta,BR,-9.8756,-56.0861,94.17,41,99,4.68,overcast clouds
181,Sangre Grande,TT,10.5835,-61.1177,81.9,93,88,11.61,overcast clouds
182,Poyarkovo,RU,49.6,128.6833,35.89,79,12,6.22,few clouds
183,Pleasanton,US,37.6624,-121.8747,57.96,93,90,3.44,overcast clouds
184,Goundam,ML,16.4145,-3.6708,97.47,15,88,4.29,overcast clouds
185,Saint-Francois,FR,46.4154,3.9054,55.47,65,0,8.05,clear sky
186,Ladispoli,IT,41.9537,12.0735,71.13,77,75,5.59,broken clouds
187,Clyde River,CA,70.4692,-68.5914,21.52,70,98,3.42,overcast clouds
188,Noyabrsk,RU,63.1994,75.4507,31.01,92,100,16.67,overcast clouds
189,Yulara,AU,-25.2406,130.9889,76.84,27,0,14.97,clear sky
190,Nevelsk,RU,46.6733,141.8633,35.89,74,23,4.05,few clouds
191,San Cristobal,VE,7.7669,-72.225,84.38,46,34,6.46,scattered clouds
192,Muros,ES,42.7762,-9.0603,70.23,60,0,12.06,clear sky
193,Sao Domingos,BR,-13.3983,-46.3183,88.92,42,97,3.22,overcast clouds
194,Tuktoyaktuk,CA,69.4541,-133.0374,29.79,80,84,6.02,broken clouds
195,Teluknaga,ID,-6.0989,106.6381,80.64,83,40,8.05,moderate rain
196,Huadian,CN,42.9633,126.7478,35.98,65,0,3.56,clear sky
197,Narsaq,GL,60.9167,-46.05,35.82,84,100,3.85,overcast clouds
198,Ukiah,US,39.1502,-123.2078,56.01,95,90,0.0,mist
199,Chesley,CA,44.2966,-81.0952,43.86,61,99,7.96,overcast clouds
200,Rio Gallegos,AR,-51.6226,-69.2181,48.92,46,100,17.34,overcast clouds
201,Ampanihy,MG,-24.7,44.75,70.02,61,30,15.82,scattered clouds
202,Torbay,CA,47.6666,-52.7314,55.27,67,11,10.0,few clouds
203,Hofu,JP,34.05,131.5667,58.87,75,87,15.05,overcast clouds
204,Richards Bay,ZA,-28.783,32.0377,76.23,64,93,15.37,overcast clouds
205,Tiarei,PF,-17.5333,-149.3333,77.02,82,43,15.88,light rain
206,Nikolskoye,RU,59.7035,30.7861,47.88,64,100,18.92,overcast clouds
207,Soyo,AO,-6.1349,12.3689,79.5,76,90,10.16,overcast clouds
208,Emerald,AU,-23.5333,148.1667,70.34,80,15,13.44,few clouds
209,Dudinka,RU,69.4058,86.1778,12.27,96,81,7.43,broken clouds
210,Nizwa,OM,22.9333,57.5333,85.77,24,0,3.62,clear sky
211,Pinheiro Machado,BR,-31.5783,-53.3811,70.05,42,0,4.41,clear sky
212,Ouargaye,BF,11.5033,0.0572,97.25,28,47,5.53,scattered clouds
213,Naze,JP,28.3667,129.4833,64.9,63,64,16.78,broken clouds
214,Peniche,PT,39.3558,-9.3811,71.74,67,0,18.59,clear sky
215,Polunochnoye,RU,60.8697,60.4153,37.17,98,100,6.89,overcast clouds
216,Noumea,NC,-22.2763,166.4572,69.78,88,10,3.49,clear sky
217,Beringovskiy,RU,63.05,179.3167,18.14,89,100,16.06,overcast clouds
218,Bengkulu,ID,-3.8004,102.2655,76.66,88,100,4.09,moderate rain
219,Waingapu,ID,-9.6567,120.2641,79.95,81,72,3.78,broken clouds
220,Kavaratti,IN,10.5669,72.642,82.4,75,36,2.39,scattered clouds
221,Asyut,EG,27.181,31.1837,77.36,35,4,11.21,clear sky
222,Stara Zagora,BG,42.4328,25.6419,63.05,63,17,0.92,few clouds
223,Troitsko-Pechorsk,RU,62.7084,56.1964,41.38,97,100,9.48,overcast clouds
224,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,74,75,5.99,broken clouds
225,Guerrero Negro,MX,27.9769,-114.0611,70.52,71,47,10.4,scattered clouds
226,Srednekolymsk,RU,67.45,153.6833,-10.55,99,33,3.62,scattered clouds
227,Sorland,NO,67.667,12.6934,37.47,50,100,15.68,overcast clouds
228,Floresta,BR,-8.6011,-38.5686,91.22,41,62,2.93,broken clouds
229,Acapulco,MX,16.8634,-99.8901,81.41,78,98,3.78,overcast clouds
230,Luanda,AO,-8.8368,13.2343,78.33,77,90,15.52,overcast clouds
231,Sibolga,ID,1.7427,98.7792,78.67,84,100,2.24,moderate rain
232,Kungurtug,RU,50.5994,97.5228,29.35,59,4,1.5,clear sky
233,Haines Junction,CA,60.7522,-137.5108,32.14,96,99,1.52,overcast clouds
234,Benguela,AO,-12.5763,13.4055,77.56,73,81,8.7,broken clouds
235,Alofi,NU,-19.0595,-169.9187,73.6,66,100,19.35,overcast clouds
236,Asind,IN,25.7333,74.3333,73.24,55,0,7.29,clear sky
237,Kandrian,PG,-6.2167,149.55,77.0,86,100,4.76,overcast clouds
238,Grindavik,IS,63.8424,-22.4338,43.27,100,90,21.85,heavy intensity rain
239,Portland,US,45.5234,-122.6762,54.1,93,90,1.01,light rain
240,Nouadhibou,MR,20.931,-17.0347,70.83,77,5,17.52,clear sky
241,Northam,GB,51.0333,-4.2167,54.66,70,97,13.31,overcast clouds
242,Marfil,MX,21.0,-101.2833,67.95,62,31,5.95,scattered clouds
243,Faya,SA,18.3851,42.4509,68.52,24,3,14.14,clear sky
244,Namatanai,PG,-3.6667,152.4333,77.72,81,99,4.63,overcast clouds
245,Talcahuano,CL,-36.7167,-73.1167,58.68,55,40,18.41,scattered clouds
246,Walvis Bay,NA,-22.9575,14.5053,65.08,67,5,12.5,clear sky
247,Morros,BR,-9.4467,-46.3003,85.46,55,100,5.7,overcast clouds
248,Rach Gia,VN,10.0167,105.0833,76.95,88,68,8.41,broken clouds
249,Aykhal,RU,66.0,111.5,26.74,91,69,16.62,broken clouds
250,Dong Hoi,VN,17.4833,106.6,68.31,93,100,14.32,overcast clouds
